jockey,jockey_career_wins,jockey_group_1_wins,jockey_prize_money,jockey_win_pct,jockey_recent_win_pct,jockey_group_1_win_pct,jockey_group_1_place_pct,jockey_group_2_win_pct,jockey_group_2_place_pct,jockey_group_3_win_pct,jockey_group_3_place_pct,jockey_listed_win_pct,jockey_listed_place_pct,jockey_other_win_pct,jockey_other_place_pct
aaron-bullock,836,0,18266124,19,24,0,0,,,0,0,0,15,19,45
adam-hyeronimus,535,1,20898420,13,22,3,13,2,9,6,17,13,33,13,36
adam-mccabe,208,0,4751110,9,6,,,,,0,0,7,7,9,29
alana-kelly,214,0,10565677,7,4,0,0,50,50,0,12,4,8,7,25
alexandra-bryan,95,0,1985574,8,4,,,,,,,,,8,21
alysha-collett,346,1,12529743,11,18,4,16,9,38,5,19,8,31,12,34
amy-herrmann,426,0,7065523,7,,0,0,0,0,5,20,1,8,7,27
amy-mclucas,132,0,4248699,10,8,,,,,,,0,0,10,29
andrew-adkins,328,1,20193200,7,4,2,13,9,18,2,22,3,9,8,29
andrew-gibbons,1358,0,26222219,8,6,0,8,0,14,0,4,1,9,8,26
andrew-mallyon,1130,0,28951217,11,10,0,20,0,18,7,30,7,23,11,33
anna-roper,67,0,1766137,11,10,,,,,,,0,0,11,35
anthony-cavallo,656,0,10684826,8,12,0,0,0,100,0,0,0,0,8,27
anthony-darmanin,901,1,22221291,10,18,5,15,21,35,8,21,10,31,10,32
arron-lynch,318,0,9470423,8,2,0,0,0,0,0,0,0,0,8,28
ashleigh-stanley,58,0,1329112,5,8,,,,,,,0,0,5,19
ashley-morgan,432,0,11897773,11,16,,,0,0,0,14,0,22,11,34
bailey-wheeler,146,0,3975820,14,12,,,,,,,,,14,37
barend-vorster,368,2,13811281,18,20,11,16,16,25,19,36,12,29,19,48
beany-panya,53,0,974365,7,8,,,,,,,,,7,25
beau-mertens,580,0,26328096,10,10,0,9,7,15,2,12,7,21,10,33
ben-allen,617,1,27729164,11,16,2,19,11,20,11,25,7,27,12,34
ben-coen,34,1,3653406,21,6,20,60,33,100,23,69,8,75,21,51
ben-looker,1155,0,20891269,11,20,0,0,,,0,25,5,25,11,31
ben-melham,1333,19,78838491,13,12,7,21,13,27,12,29,9,27,13,36
ben-price,184,0,5590080,10,12,0,0,,,0,0,3,27,10,31
ben-thompson,693,1,34828046,10,12,2,11,6,13,2,14,9,25,10,32
benjamin-osmond,37,0,1182075,5,4,,,,,,,,,5,21
benoit-de-la-sayette,3,0,59004,17,17,,,,,,,,,17,58
billy-egan,848,1,28250569,11,12,3,23,9,31,6,13,11,29,11,33
billy-owen,350,0,6639717,15,16,,,,,0,0,0,0,15,40
blaike-mcdougall,773,0,25013777,14,8,0,13,3,18,9,23,2,22,15,39
blake-shinn,1744,23,119873362,14,12,5,25,11,35,13,37,11,31,15,41
blake-spriggs,623,1,16707808,9,6,8,8,0,11,6,22,9,18,9,30
brad-rawiller,2984,25,90279188,16,14,10,31,4,27,15,35,12,35,16,42
brad-stewart,1154,0,31644075,14,6,0,13,3,14,9,25,8,23,14,39
braith-nock,28,0,861000,9,2,,,,,,,0,0,9,33
brandon-griffiths,109,0,2553895,7,8,,,,,0,0,0,0,7,25
brandon-lerena,54,1,1443493,16,4,50,100,0,0,0,100,0,0,16,43
