race_course,race_no,datetime,distance,class,track_cond,track_rail,race_time,prize_money,position,horse_name,barrier,trainer,jockey,weight,prize,800m,400m,margin,horse_adjusted_t1_speed,sp,s_tab_win,s_tab_place
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,1,Stay Gold,1,D.T.O'Brien,J.Kah ,61.5,71500,4,3,0,62.03867176603378,5.00,4.60,1.90
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,2,Mrs Sippy,8,J.Warren & D.Krongold,J.Richards (a2),60.5,23400,3,4,0.1,62.02721727731424,5.00,0,1.90
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,3,Takissacod,4,D.L.Scott,N.Heywood ,62,11700,1,1,0.6,61.96994710381314,26.00,0,4.20
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,4,Sensationalisation,6,M.Price & M.Kent (Jnr),M.J.Cartwright (a2),59.5,6500,2,2,0.7,61.95849352329999,10.00,0,0
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,5,Sweet Karolina,9,L. & T.Corstens,D.Oliver ,61,3900,8,8,1.95,61.81533655338575,5.00,0,0
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,6,Way To Go Paula,2,P.J.Stokes,M.J.Lloyd (a3),58.5,2600,7,6,2.15,61.79243363738445,5.50,0,0
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,7,Hearty Lass,3,J.V.Hyam,A.K.Kelly (a3),62,2600,9,9,2.35,61.769531328584556,14.00,0,0
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,8,Lady D'oro,5,R.Griffiths & M.de Kock,L.N.McNeil (a3),59.5,2600,5,7,2.45,61.75808040194543,9.50,0,0
Flemington,2,2022-01-01 11:05:00,1400,BM 70,4,Out 6m Entire Circuit,83.79,130000,9,Atomic Selfie,7,W.B.Brisbourne,D.M.Lane ,58.5,2600,6,5,6.7,61.271556716777376,13.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,1,Gracias Amigo,4,G.M.Begg,L.N.McNeil (a3),57.5,41250,6,3,0,61.7706648758785,18.00,24.70,5.00
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,2,Unanimous,2,C.Maher & D.Eustace,J.Allen ,58,13500,5,6,0.75,61.69582227859866,4.80,0,2.30
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,3,Hasseltoff,8,R.Griffiths & M.de Kock,J.Kah ,59.5,6750,9,9,0.95,61.675865349118105,10.00,0,2.70
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,4,Vardani (FR),12,A.Alexander,D.Bates ,60,3750,13,11,1.7,61.60103097852485,11.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,5,Reliable Dude (NZ),9,M.J.Ellerton,D.M.Lane ,58.5,2250,11,12,1.8,61.59105355359149,9.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,6,Maid Of Iron,7,L. & T.Corstens,D.Oliver ,57.5,1500,10,10,2.0,61.57109905058436,21.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,7,Dimaggio,11,K.L.Corstens,D.Thornton ,58.5,1500,14,14,3.0,61.47133347691653,41.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,8,Dirty Deeds (NZ),13,S.Zahra,A.K.Kelly (a3),61.5,1500,7,7,3.1,61.46135755622505,6.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,9,Moral Force,6,M.Freedman,C.Williams ,58.5,1500,8,8,3.2,61.45138175135713,4.20,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,10,Seeingisbelieving,10,P. & T.Templeton,L.Currie ,62.5,1500,12,13,5.7,61.202024319518344,71.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,11,Comanche Brave (NZ),1,J.Sandhu,J.Richards (a2),60.5,0,4,5,5.9,61.18207886020475,16.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,12,Bajraktari,5,J.R.Constantine,C.Puls ,57.5,0,3,2,6.0,61.17210630495451,61.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,13,New King (GB),3,M.J.Dale,M.J.Cartwright (a2),60.5,0,1,1,7.0,61.07238715123297,21.00,0,0
Flemington,3,2022-01-01 11:35:00,1600,BM 70,4,Out 6m Entire Circuit,97.17,75000,14,Orienzel,14,N.J.Hobson,J.Fry ,58,0,2,4,12.5,60.52414040848341,101.00,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,1,Clemenceau,1,M. & W. & J.Hawkes,J.McNeil ,59,71500,3,2,0,62.74070428262506,2.60,2.50,1.50
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,2,Sharp Response,3,J.Sandhu,E.P.Brown ,60,23400,7,6,0.2,62.71121776261376,17.00,0,3.90
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,3,Squid Game (NZ),2,P.Payne,M.J.Dee ,60,11700,4,7,1.2,62.56380004622615,4.00,0,1.50
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,4,Spirit Of Pepin,6,R.Griffiths & M.de Kock,A.K.Kelly (a3),56,6500,10,10,4.45,62.08486429960207,61.00,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,5,Along The River,9,M.J.Ellerton,D.M.Lane ,58.5,3900,9,9,4.55,62.07013199484516,6.50,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,6,Star Spirit,10,A.Alexander,J.Richards (a2),56,2600,8,4,4.95,62.01120527753201,16.00,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,7,Butter Blonde,7,G.Waterhouse & A.Bott,J.Kah ,55.5,2600,2,3,6.7,61.7534480247553,9.50,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,8,Rusheen,5,AW.Noonan,J.Noonan ,56,2600,6,8,6.8,61.738721360054015,41.00,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,9,Titans,8,A. & S.Freedman,D.Thornton ,58.5,2600,5,5,8.05,61.554659268884535,19.00,0,0
Flemington,4,2022-01-01 12:05:00,1100,BM 70,4,Out 6m Entire Circuit,63.9,130000,10,Rock Artist,4,K. & K.Keys,L.Currie ,58,2600,1,1,8.8,61.44424090132411,26.00,0,0
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,1,Designer Chef,5,M.C.Webb,C.Williams ,56,71500,6,6,0,61.34340117396905,20.00,23.20,3.40
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,2,Somerset Maugham (IRE),2,D.T.O'Brien,J.Kah ,57,23400,5,5,1.0,61.24430271891418,8.00,0,1.70
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,3,Desert Icon (FR),1,C.J.Waller,J.Richards (a2),59.5,11700,7,8,1.75,61.169986403118834,21.00,0,3.10
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,4,High 'n' Dry,4,M.J.Ellerton,M.J.Cartwright (a2),57,6500,4,3,1.85,61.160078048795164,7.50,0,0
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,5,Bermadez (NZ),6,M.D.Moroney,D.Oliver ,59,3900,2,2,2.85,61.06100082344305,1.65,0,0
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,6,Flandersrain,3,M.S.S.Cumani,M.Poy ,56,2600,3,4,3.6,60.986700449277365,11.00,0,0
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,7,Vegas Knight,7,C.Little & M.Lindsay,T.M.Nugent (a1.5),57,2600,8,7,4.35,60.91240654962526,51.00,0,0
Flemington,5,2022-01-01 12:35:00,1600,BM 84,3,Out 6m Entire Circuit,97.36,130000,8,Legionnaire,8,J.F.Moloney,J.Fry ,56,2600,1,1,4.55,60.89259593738788,18.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,1,Unique Artist (IRE),3,P.J.Stokes,D.Moor ,57.5,71500,4,3,0,61.87327841986738,10.00,12.10,3.30
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,2,Brasada,4,L. & T.Corstens,D.Oliver ,61,23400,8,7,2.5,61.67338107545112,8.50,0,3.10
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,3,Running Cloud,6,N.Dunn,L.J.Neindorf (a2),58.5,11700,1,1,2.8,61.649396505333094,31.00,0,8.70
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,4,Convict Sam,5,A.Alexander,A.K.Kelly (a3),61,6500,11,11,3.0,61.633407162714846,7.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,5,Lost Impact (JPN),1,L.Smith,T.Stockdale (a2),58.5,3900,3,4,3.2,61.6174181168085,6.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,6,Irish Butterfly (NZ),2,H.Dwyer,J.Richards (a2),61.5,2600,7,6,3.95,61.55746183837709,6.50,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,7,Curly Burgin,7,D.J.Bourne,L.W.German (a2),59,2600,9,10,4.25,61.53348049634767,31.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,8,Pilote,9,K.L.Corstens,J.McNeil ,59,2600,2,2,5.25,61.453547519115915,26.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,9,Pres de Toi,10,P.A.Chow,D.M.Lane ,56,2600,5,5,7.25,61.29370388215116,11.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,10,Mr Pickwick,11,P.Payne,M.J.Lloyd (a3),59,2600,12,12,11.25,60.974106111239024,7.00,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,11,Nordic Pride,8,W.B.Brisbourne,M.J.Cartwright (a2),61,0,10,9,11.45,60.95812936255307,7.50,0,0
Flemington,6,2022-01-01 13:10:00,2000,BM 70,3,Out 6m Entire Circuit,122.75,130000,12,War Critic (NZ),12,S.Zahra,L.Currie ,59,0,6,8,22.45,60.079871332326064,61.00,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,1,Tigertiger (NZ),9,R.J.Blacker,D.Moor ,54,121000,10,5,0,62.24849156508304,10.00,9.20,2.30
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,2,Skelm,8,T.D.Kelly,M.Poy ,56,36000,5,2,0.3,62.231251778925454,5.00,0,1.70
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,3,Long Arm (IRE),4,P.Gelagotis,T.M.Nugent (a0),55,18000,6,3,2.55,62.10196427752103,21.00,0,4.10
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,4,Good Idea,5,P.J.Stokes,D.M.Lane ,60,9000,3,1,4.05,62.015783302503834,8.50,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,5,High Emocean (NZ),2,C.Maher & D.Eustace,J.McNeil ,55,5000,4,6,5.8,61.91524965877686,4.40,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,6,Lady In The Sky (NZ),7,M.D.Moroney,M.J.Dee ,54,4000,9,9,5.9,61.90950523162683,91.00,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,7,Blenheim Palace (IRE),6,S.P.Ryan,C.A.Robertson ,56.5,4000,2,4,9.15,61.72283212192275,81.00,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,8,Dragon Storm (NZ),3,M.D.Moroney,B.McDougall ,56.5,4000,7,8,19.15,61.148707024441144,21.00,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,9,Smokin' Romans (NZ),1,C.Maher & D.Eustace,J.Kah ,60,0,1,7,21.4,61.01958187098027,2.70,0,0
Flemington,7,2022-01-01 13:45:00,2800,Listed,3,Out 6m Entire Circuit,175.3,200000,10,Fanciful Toff,10,M.S.S.Cumani,C.Williams ,54,0,8,10,71.4,58.1552425949379,61.00,0,0
Flemington,8,2022-01-01 14:20:00,1400,Listed,3,Out 6m Entire Circuit,81.52,160000,1,Lighthouse (USA),8,C.Maher & D.Eustace,J.McNeil ,54,97000,9,8,0,63.448951357979126,2.45,2.20,1.40
Flemington,8,2022-01-01 14:20:00,1400,Listed,3,Out 6m Entire Circuit,81.52,160000,2,Looks Like Elvis,11,J.M.Austin,L.Currie ,56,28800,10,10,1.25,63.3025265465579,8.50,0,2.60
