race_course,race_no,date,horse_name,r1_l8,r2_l8,r3_l8,r4_l8,r5_l8,r1_l6,r2_l6,r3_l6,r4_l6,r5_l6,r1_l4,r2_l4,r3_l4,r4_l4,r5_l4,r1_l2,r2_l2,r3_l2,r4_l2,r5_l2
caulfield,2,2022-01-08,Blandford Lad,-1.07,0,-2.1,0,-2.88,-1.27,0,-1.12,0,-2.54,-0.1,0,-0.92,0,-1.47,0.18,0,-0.36,0,-0.24
caulfield,2,2022-01-08,The Awesome Son,0,-0.92,-2.23,-0.61,0,0,-1.04,-1.56,-0.1,0,0,-0.61,-1.62,0.38,0,0,0.04,-0.57,0.34,0
caulfield,2,2022-01-08,Brilliant Venture,-0.75,0.18,-1.99,-1.46,0,-0.95,0.69,-1.16,-0.96,0,0.22,1.13,-0.92,-0.15,0,0.34,0.9,-0.24,0.41,0
caulfield,2,2022-01-08,Coup De Tonnerre,-1.09,-0.23,0,-1.05,1.24,-0.58,-0.15,0,-0.13,0.75,0.28,0.05,0,0.52,0.44,0.56,0.21,0,0.45,0.4
caulfield,2,2022-01-08,Ruru,-1.19,-1.89,-1.3,-2.14,-0.18,-1.39,-1.5,-0.93,-1.9,0.07,-0.18,-0.92,-0.18,-1.27,0.57,0.02,0.12,0.15,-0.21,0.69
caulfield,2,2022-01-08,Salto Angel,0.48,0.29,0,-0.94,0.92,-0.04,-0.28,0,-0.46,1.2,0.26,-0.17,0,0.21,1.55,0.28,0.21,0,0.02,1.74
caulfield,2,2022-01-08,Packer's Bond,-0.08,0.85,0,0.26,-0.8,0.12,1.1,0,0.15,-2.01,0.23,1.42,0,-0.02,-1.13,0.25,0.73,0,-0.11,-0.64
caulfield,2,2022-01-08,Eaton,0,-0.74,1.16,0.62,-2.11,0,-0.17,1.47,0.98,-2.8,0,0.06,1.17,1.05,-1.32,0,0.05,0.69,1.03,-0.13
caulfield,2,2022-01-08,Set Us Free,0,0.09,-0.96,-1.88,0,0,0.1,-0.41,-1.29,0,0,0.18,-0.78,-0.41,0,0,0.6,-0.46,0.16,0
caulfield,2,2022-01-08,Silence The Stars,-2.42,0,1.53,0.49,0,-1.48,0,1.83,0.93,0,-0.68,0,1.52,1.2,0,0.02,0,0.7,1.01,0
caulfield,3,2022-01-08,Lavish Girl,0,-1.28,-0.48,-0.06,-0.76,0,-1.69,-0.87,-0.1,-1.05,0,-1.42,-0.03,-0.42,-1.04,0,-0.72,0.31,-0.39,-0.61
caulfield,3,2022-01-08,Luna Cat,0,0.02,-0.56,2.78,-0.16,0,0.25,-0.06,3.02,-0.37,0,0.23,0.33,3.72,-0.75,0,0.42,0.61,3.62,-0.34
caulfield,3,2022-01-08,Jagar,0,0.43,-1.9,0,-1.52,0,-0.4,-1.78,0,-1.96,0,-0.21,-0.67,0,-0.93,0,0.24,-0.08,0,-0.4
caulfield,3,2022-01-08,Russians,0.13,-2.73,0,0,0,0,-2.94,0,0,0,-0.9,-2.23,0,0,0,-0.41,-1.01,0,0,0
caulfield,3,2022-01-08,Rioyuki,-1.31,-2.45,-1.5,-2.08,0,-1.36,-2.02,-1.03,-1.5,0,-1.47,-0.83,-0.85,-1.45,0,-1.08,-0.18,-0.43,-1.18,0
caulfield,3,2022-01-08,Throntari,-0.87,0.17,-1.09,0,0,-0.92,-0.19,-1.59,0,0,-0.99,0.09,0.03,0,0,-0.56,0.61,0.71,0,0
caulfield,3,2022-01-08,Sister Vianney,-2.9,-2.04,0.06,-0.68,0,-1.79,-1.59,-0.27,-0.87,0,-1.17,-1.5,-0.71,-0.97,0,-0.68,-0.24,0.02,-0.36,0
caulfield,3,2022-01-12,First Division,-1.64,0.31,0,0,0,-1.34,0.78,0,0,0,-1.07,0.63,0,0,0,-0.1,0.7,0,0,0
caulfield,3,2022-01-12,Jillette,0,-1.59,0.83,0,0,0,-0.62,1.06,0,0,0,-0.89,0.47,0,0,0,0.17,0.22,0,0
caulfield,3,2022-01-12,Minouche,-0.5,-1.26,0,0,0,-0.94,-1.37,0,0,0,-0.95,-1.67,0,0,0,-0.34,-0.96,0,0,0
caulfield,3,2022-01-12,Wanaroo,0,-1.19,0.16,-2.33,-0.22,0,-1.57,0.42,-1.91,-0.64,0,-1.28,0.46,-1.4,-0.55,0,-0.34,0.34,-0.21,-0.08
caulfield,3,2022-01-12,Irish Mist,0,0.52,0.76,-0.58,0.14,0,-0.31,1.17,0,-0.67,0,-0.2,1.02,0.66,-1.15,0,0.19,0.87,0.65,-0.54
caulfield,3,2022-01-12,Live In Hope,-0.86,-0.28,-0.11,-0.37,0,-0.82,-0.14,0.1,-0.72,0,-0.34,0.14,-0.04,-0.87,0,-0.17,0.59,0.42,-0.47,0
caulfield,3,2022-01-12,No Crying,-0.4,-0.65,-0.73,0.86,-1.46,-0.18,-1.32,-0.7,0.2,-2.03,0.09,-1.21,-0.88,-0.3,-0.37,-0.08,-0.28,-0.38,-0.39,-0.31
caulfield,2,2022-01-12,Guardian Spirit,-0.57,-1.38,-1.34,-0.82,-0.42,-0.46,-1.15,-1.8,-1.13,-1.58,0.09,-1.39,-1.47,-0.51,-0.73,0.35,-0.3,-0.82,-0.01,-0.34
